name,party,constituency,county,status,gender,image_local_path
"HON. SIGEI, FRANCIS KIPYEGON ARAP",UDA,SOTIK,BOMET,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SIGEI_FRANCIS_KIPYEGON_ARAP.webp
"HON. SIRMA, MUSA CHERUTICH",UDA,ELDAMA RAVINE,BARINGO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SIRMA_MUSA_CHERUTICH.webp
HON. SITATI DANIEL WANYAMA,UDA,WEBUYE WEST,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SITATI_DANIEL_WANYAMA.webp
"HON. SITIENEI, JANET JEPKEMBOI",UDA,TURBO,UASIN GISHU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SITIENEI_JANET_JEPKEMBOI.webp
HON. SLOYA CLEMENT LOGOVA,UDA,SABATIA,VIHIGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SLOYA_CLEMENT_LOGOVA.webp
HON. SUDI OSCAR KIPCHUMBA,UDA,KAPSERET,UASIN GISHU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SUDI_OSCAR_KIPCHUMBA.webp
HON. SULEKA HULBALE HARUN,UDM,,,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SULEKA_HULBALE_HARUN.webp
"HON. SUNKUIYA, GEORGE RISA",UDA,KAJIADO WEST,KAJIADO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SUNKUIYA_GEORGE_RISA.webp
"HON. SUNKULI, JULIUS LEKAKENY",KANU,KILGORIS,NAROK,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_SUNKULI_JULIUS_LEKAKENY.webp
HON. TAITAMU JULIUS MÁNAIBA,UDA,IGEMBE NORTH,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_TAITAMU_JULIUS_M%C3%81NAIBA.webp
HON. TANDAZA KASSIM SAWA,ANC,MATUGA,KWALE,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_TANDAZA_KASSIM_SAWA.webp
HON. THUKU ZACHARY KWENYA,JP,KINANGOP,NYANDARUA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_THUKU_ZACHARY_KWENYA.webp
"HON. TONGOYO, GABRIEL KOSHAL",UDA,NAROK WEST,NAROK,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_TONGOYO_GABRIEL_KOSHAL.webp
HON. TONUI JOSEPH KIPKOSGEI,UDA,KURESOI SOUTH,NAKURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_TONUI_JOSEPH_KIPKOSGEI.webp
HON. TOROITICH TIMOTHY KIPCHUMBA,IND,MARAKWET WEST,ELGEYO MARAKWET,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_TOROITICH_TIMOTHY_KIPCHUMBA.webp
HON. TUNGULE CHARO KENNETH KAZUNGU,PAA,GANZE,KILIFI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_TUNGULE_CHARO_KENNETH_KAZUNGU.webp
HON. WAINAINA ANTHONY NJOROGE,UDA,KIENI,NYERI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WAINAINA_ANTHONY_NJOROGE.webp
"HON. WAINAINA, MICHAEL WAMBUGU",UDA,OTHAYA,NYERI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WAINAINA_MICHAEL_WAMBUGU.webp
HON. WAITHAKA JOHN MACHUA,UDA,KIAMBU,KIAMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WAITHAKA_JOHN_MACHUA.webp
HON. WAMACUKURU JAMES GITHUA KAMAU,UDA,KABETE,KIAMBU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WAMACUKURU_JAMES_GITHUA_KAMAU.webp
HON. WAMBOKA WANAMI JACK NELSON,DAP-K,BUMULA,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_WAMBOKA_WANAMI_JACK_NELSON.webp
