County Code,County Name,Const. Code,Const. Name,CAW Code,CAW Name,Name,Political Party Name,Party Abbrev,image_url
28,Elgeyo Marakwet,150,Keiyo South,750,Metkei,Lawi Kipng’etich Kibire,United Democratic Alliance,UDA,3140
29,Nandi,151,Tinderet,751,Songhor/Soba,Raymond Kipkoech Chelulei,United Democratic Alliance,UDA,12501
29,Nandi,151,Tinderet,752,Tindiret,Paul Kipkemboi Birech,United Democratic Alliance,UDA,7623
29,Nandi,151,Tinderet,753,Chemelil/Chemas e,Douglas Martin,United Democratic Alliance,UDA,4069
29,Nandi,151,Tinderet,754,Kapsimotwo,Korir Edwin Kipchumba Korir,United Democratic Alliance,UDA,3836
29,Nandi,152,Aldai,755,Kabwareng,Hassan Majani Kagoni,Forum for Restoration of Democracy - Kenya,FORD-KENYA,3201
29,Nandi,152,Aldai,756,Terik,Eliud Kirwa,Independent,IND,2500
29,Nandi,152,Aldai,757,Kemeloi Maraba,Trufosa Jelagat Kutto,United Democratic Alliance,UDA,5949
29,Nandi,152,Aldai,758,Kobujoi,Mathew Kiprotich Sang,United Democratic Alliance,UDA,6453
29,Nandi,152,Aldai,759,Kaptumo Kaboi,Isaac Yitzhak Mosbei,United Democratic Alliance,UDA,9517
29,Nandi,152,Aldai,760,Koyo Ndurio,Davies Boor Sangutei,United Democratic Alliance,UDA,8757
29,Nandi,153,Nandi Hills,761,Nandi Hills,Edwin Kiprop,United Democratic Alliance,UDA,10236
29,Nandi,153,Nandi Hills,762,Chepkunyuk,John Kiprotich Keter,United Democratic Alliance,UDA,9353
29,Nandi,153,Nandi Hills,763,Ol’lessos,Isaiah Maina,United Democratic Alliance,UDA,6146
29,Nandi,153,Nandi Hills,764,Kapchorua,Richard Kipkosgei Bett,United Democratic Alliance,UDA,5716
29,Nandi,154,Chesumei,765,Chemundu/Kapn getung,Julius Kipruto Keter,United Democratic Alliance,UDA,5335
29,Nandi,154,Chesumei,766,Kosirai,Sarah Rubety Keino,Independent,IND,6093
29,Nandi,154,Chesumei,767,Lelmokwo/Ngech ek,Julius Kipkosgei Arusei,United Democratic Alliance,UDA,6359
29,Nandi,154,Chesumei,768,Kaptel/Kamoiyw o,Josphat Kiptoo Bett,United Democratic Alliance,UDA,8772
29,Nandi,154,Chesumei,769,Kiptuiya,Geoffrey Imbuchi Kevolwe,Amani National Congress,ANC,2536
29,Nandi,155,Emgwen,770,Chepkumia,Wilson Kipkirui Sang,United Democratic Alliance,UDA,3947
29,Nandi,155,Emgwen,771,Kapkangani,Eliud K. Kirongo,Amani National Congress,ANC,2234
29,Nandi,155,Emgwen,772,Kapsabet,Benjamin Kerich Matata,United Democratice Alliance,UDA,7901
29,Nandi,155,Emgwen,773,Kilibwoni,Emmanuel Kipchumba,United Democratic Alliance,UDA,19894
29,Nandi,156,Mosop,774,Chepterwai,Lucy Jepkemei,United Democratic Alliance,UDA,5418
29,Nandi,156,Mosop,775,Kipkaren,Gideon Kipkemei Kogo,United Democratic Alliance,UDA,5753
29,Nandi,156,Mosop,776,Kurgung/Surungai,Ezra Kipchirchir Rotich,United Democratic Alliance,UDA,5529
29,Nandi,156,Mosop,777,Kabiyet,Walter Kiplagat,United Democratic Alliance,UDA,5770
29,Nandi,156,Mosop,778,Ndalat,Nicholas Kipkorir Kemboi,United Democratic Alliance,UDA,6328
29,Nandi,156,Mosop,779,Kabisaga,Silahs Cyrus Kipkoech Sum,United Democratc Alliance,UDA,6788
29,Nandi,156,Mosop,780,Sangalo/ Kebulonik,Silas Kipkemboi Kogo,United Democratic Alliance,UDA,3242
30,Baringo,157,Tiaty,781,Tirioko,Sam Lourien Limo,Kenya African National Union,KANU,2502
30,Baringo,157,Tiaty,782,Kolowa,Makal Solomon Loluka,Kenya African National Union,KANU,3183
30,Baringo,157,Tiaty,783,Ribkwo,Daniel Tuwit Loreria,Kenya African National Union,KANU,2612
30,Baringo,157,Tiaty,784,Silale,B Clement Alexander Lomaringoria,Kenya African National Union,KANU,1528
30,Baringo,157,Tiaty,785,Loiyamorock,Losile Maria Cheporiot,Kenya African National Union,KANU,1995
30,Baringo,157,Tiaty,786,Tangulbei/ Korrossi,Shadrack Akeno Mailuk,Kenya African National Union,KANU,3334
30,Baringo,157,Tiaty,787,Churo/Amaya,Diana Siriti,Kenya Union Party,KUP,2230
30,Baringo,158,Baringo North,788,Barwessa,Josphat Lokorio Lang’at,United Democratic Alliance,UDA,6378
30,Baringo,158,Baringo North,789,Kabartonjo,Symon Kimuge Kiplagat,United Democratic Alliance,UDA,4890
30,Baringo,158,Baringo North,790,Saimo Kipsaraman,John Chongwo Aengwo,United Democratic Alliance,UDA,3583
30,Baringo,158,Baringo North,791,Saimo Soi,Michael Chepkeres Chebon,United Democratic Alliance,UDA,4017
30,Baringo,158,Baringo North,792,Bartabwa,David Sitoi Telieny,United Democratic Alliance,UDA,5027
30,Baringo,159,Baringo Central,793,Kabarnet,Ernest Kibet Tarus,United Democratic Alliance,UDA,5050
30,Baringo,159,Baringo Central,794,Sacho,John Tarus Lagat,United Democratic Alliance,UDA,2425
30,Baringo,159,Baringo Central,795,Tenges,Henry Kipkurui Kigen,United Democratic Alliance,UDA,2711
30,Baringo,159,Baringo Central,796,Ewalel/ Chapchap,Ayub Kibet Keitany Serem,Independent,IND,2924
30,Baringo,159,Baringo Central,797,Kapropita,Alex Kiprono Kurui,United Democratic Alliance,UDA,4052
30,Baringo,160,Baringo South,798,Marigat,Nixon Lemlem,United Democratic Alliance,UDA,6013
30,Baringo,160,Baringo South,799,Ilchamus,Wesley Lemweli Lekakimon,Orange Democratic Movement,ODM,4166
30,Baringo,160,Baringo South,800,Mochongoi,Nicholas Kipruto Kimosop,United Democratic Alliance,UDA,4776
30,Baringo,160,Baringo South,801,Mukutani,Paul Lolgisoi,Jubilee Party,JP,2085
