name,party,constituency,county,status,gender,image_local_path,start_date,end_date
NICHOLAS S. TINDI MWALE,ODM,BUTERE,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MWALE_NICHOLAS_SCOTT_TINDI.webp,2022,
JOSHUA MBITHI MUTUA MWALYO,IND,MASINGA,MACHAKOS,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MWALYO_JOSHUA_MBITHI.webp,2022,
GEOFFREY WANDETO MWANGI,UDA,TETU,NYERI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MWANGI_GEOFFREY_WANDETO.webp,2022,
MARK SAMUEL MURIITHI MWENJE,JP,EMBAKASI WEST,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MWENJE_MARK_SAMUEL_MURIITHI.webp,2022,
JOHN PAUL MWIRIGI,UDA,IGEMBE SOUTH,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MWIRIGI_JOHN_PAUL.webp,2022,
NABWERA DARAJA NABII,ODM,LUGARI,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NABII_NABWERA_DARAJA.webp,2022,
PETER OSCAR NABULINDO,ODM,MATUNGU,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NABULINDO_PETER_OSCAR.webp,2022,
JOHNSON MANYA NAICCA,ODM,MUMIAS WEST,KAKAMEGA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NAICCA_JOHNSON_MANYA.webp,2022,
JOSEPH NAMUAR EMATHE,UDA,TURKANA CENTRAL,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NAMUAR_JOSEPH_EMATHE.webp,2022,
DANIEL EPUYO NANOK,UDA,TURKANA WEST,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NANOK_DANIEL_EPUYO.webp,2022,
GEORGE KOIMBURI NDUNG'U,UDA,JUJA,KIAMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NDUNGU_GEORGE_KOIMBURI.webp,2022,
ALICE WAMBUI NG'ANG'A,UDA,THIKA TOWN,KIAMBU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NGANGA_ALICE_WAMBUI.webp,2022,
NICHOLAS NGIKOR NIXON NGIKOLONG,JP,TURKANA EAST,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NGIKOLONG_NICHOLAS_NGIKOR_NIXON.webp,2022,
CHARLES NGUSYA NGUNA,WDM,MWINGI WEST,KITUI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NGUNA_NGUSYA_CHARLES.webp,2022,
ONESMUS NGOGOYO NGURO,UDA,KAJIADO NORTH,KAJIADO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NGURO_ONESMUS_NGOGOYO.webp,2022,
MARY WAMAUA WAITHIRA NJOROGE,UDA,MARAGWA,MURANG'A,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NJOROGE_MARY_WAMAUA_WAITHIRA.webp,2022,
OLE NTUTU KITILAI,IND,NAROK SOUTH,NAROK,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NTUTU_KITILAI_OLE.webp,2022,
PATRICK MUNENE NTWIGA,UDA,CHUKA/IGAMBANG'OMBE,THARAKA-NITHI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NTWIGA_PATRICK_MUNENE.webp,2022,
NYAKUNDI JAPHETH MOKAYA,UDA,KITUTU CHACHE NORTH,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYAKUNDI_JAPHETH_MOKAYA.webp,2022,
RACHAEL KAKI NYAMAI,JP,KITUI SOUTH,KITUI,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYAMAI_RACHAEL_KAKI.webp,2022,
MARK OGOLLA NYAMITA,ODM,URIRI,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYAMITA_MARK_OGOLLA.webp,2022,
JOASH NYAMACHE NYAMOKO,UDA,NORTH MUGIRANGO,NYAMIRA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYAMOKO_JOASH_NYAMACHE.webp,2022,
EDITH VETHI NYENZE,WDM,KITUI WEST,KITUI,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYENZE_EDITH_VETHI.webp,2022,
JAMES WAMBURA NYIKAL,ODM,SEME,KISUMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYIKAL_WAMBURA_JAMES.webp,2022,
SAMSON NDINDI NYORO,UDA,KIHARU,MURANG'A,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NYORO_SAMSON_NDINDI.webp,2022,
PAUL MUSYIMI NZENGU,WDM,MWINGI NORTH,KITUI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NZENGU_PAUL_MUSYIMI.webp,2022,
ERASTUS KIVASU NZIOKA,WDM,MBOONI,MAKUENI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_NZIOKA_ERASTUS_KIVASU.webp,2022,
